什麼是分子晶體 (molecular crystal)？,由有規律地排列的分子所構成的晶體。
分子晶體中的分子主要以哪種作用力互相牽引？,微弱的分子間引力。
碘分子中的原子是以哪類化學鍵連結的？,共價鍵。
在固態碘中，將碘分子互相牽引的是哪類分子間引力？,范德華力。
冰的結構中，水分子是以什麼幾何方式排列的？,四面體排列方式。
在冰的結構中，每個水分子的氧原子與相鄰水分子的多少個氫原子形成氫鍵？,2個。
在冰的結構中，每個水分子一共與相鄰水分子形成多少個氫鍵？,4個。
冰的結構中氧原子排列成什麼形狀？,六角形。
為什麼冰的結構被稱為「敞開結構」(open structure)？,因為水分子之間存有大量空間。
為什麼冰會浮在水面上？,因為冰的密度較液態水的低。
當冰熔化時，水分子的裝填程度會發生什麼變化？,水分子會較緊密地裝填。
當冰熔化成液態水時，其體積會發生什麼變化？,體積會減小。
與甲烷 (相對分子質量 $16.0$) 相比，為什麼水的熔點 ($0\ ^{\circ}\text{C}$) 高得多？,因為熔化時需要克服分子間的氫鍵。
冰熔化時吸收能量的主要用途是什麼？,克服水分子之間的部分氫鍵。
為什麼將定量的水煮沸所需的能量比熔化等量的冰多？,煮沸需斷裂全部氫鍵，而熔化只需斷裂部分氫鍵。
氯化鈉在 $25\ ^{\circ}\text{C}$ 時是否導電？,不導電。
為什麼氯化鈉在固態時不導電？,離子處於固定位置，不可自由流動。
為什麼熔融狀態的氯化鈉 (如在 $900\ ^{\circ}\text{C}$) 能導電？,晶體結構瓦解，離子可自由流動。
解釋為什麼冰的熔點遠低於氯化鈉的熔點。,氫鍵比離子鍵弱得多。
石墨層內的碳原子是以哪類化學鍵結合的？,強共價鍵。
石墨層與層之間存在哪類引力？,微弱的范德華力。
冰和碘中，哪一個分子的體積明顯較小？,水分子。
為什麼冰在 $0\ ^{\circ}\text{C}$ 熔化，而碘在 $100\ ^{\circ}\text{C}$ 仍是固體？,水分子的引力較碘分子間的弱 (因水分子體積小得多)。
碘溶於庚烷的主要原因是什麼？,碘分子間的引力強度與庚烷分子間的相若。
冰具有相對較高的熔點，這是因為其分子間存有大量的什麼？,氫鍵。
在分子晶體「白磷」中，分子間的主要作用力為何？,范德華力。
液態水中，水分子之間的氫鍵會發生什麼動態變化？,氫鍵會不斷形成及斷裂。
冰的結構特徵：敞開結構。這對其物理體積有何影響？,水分子佔據的體積較大。
氯化鈉晶體中存在的化學鍵類別為何？,離子鍵。
在冰的結構中，水分子的氫原子與相鄰分子的什麼部分形成氫鍵？,氧原子 (或氧原子的孤電子對)。
水的黏度相對較高，這與哪種分子間作用力有關？,氫鍵。
石墨屬於哪種結構類別？,巨型共價結構 (且具層狀特徵)。
比較冰、氯化鈉、碘和石墨，哪一種在庚烷中溶解度最高？,碘。
水分子的相對分子質量約為多少？,$18.0$。
冰熔化時，其「敞開結構」會發生什麼事？,結構瓦解。
什麼物理性質導致冰在池塘中會由水面開始向下凝固？,冰的密度較低 (浮於水面)。
在石墨結構中，同層的碳原子與另外多少個碳原子結合？,3個。
冰結構中的「空間」對於其密度有何決定性影響？,使分子佔據較大體積，降低密度。
碘晶體（$I_2$）的顏色外觀通常描述為何？,深紫色或黑灰色固體。
分子晶體中，決定物質熔點高低的主要因素是分子間引力還是分子內化學鍵？,分子間引力。
為什麼冰在受熱熔化時體積會縮小？,因為敞開結構崩塌，分子填裝變緊密。
在水分子中，氫與氧之間是以什麼鍵連結？,共價鍵。
硫在常溫下以什麼物理狀態存在？,固態。
氫鍵、范德華力、離子鍵，按強度由弱至強排序為何？,范德華力 $<$ 氫鍵 $<$ 離子鍵。
