原子在形成化學鍵時吸引電子的能力稱為什麼？,電負性 (Electronegativity)。
哪位科學家在 1932 年設計了現今常用的電負性標度？,鮑林 (Linus Pauling)。
在電負性標度中，具有最高電負性值的元素是哪一個？,氟 ($F$)。
在電負性標度中，具有最低電負性值的元素是哪一個？,鍅 ($Fr$)。
橫越周期表的一周期（從左至右）時，主族元素的電負性趨勢為何？,電負性遞增。
沿著周期表的一族而下時，主族元素的電負性趨勢為何？,電負性一般遞減。
為什麼在電負性標度中通常會略去貴氣體 (Noble gases)？,因為貴氣體一般不與其他元素形成化學鍵。
在同一元素（如 $H_2$ 或 $Cl_2$）組成的分子中，鍵合電子的分佈情況為何？,電子被平均地共用。
當鍵合原子之間具有不同的電負性時，共用電子的分佈情況為何？,電子是不平均地共用的。
電負性較高的原子在共價鍵中吸引電子的能力較強，會導致該原子帶有什麼電荷？,部分負電荷 ($\delta-$)。
電負性較低的原子在極性共價鍵中會帶有什麼電荷？,部分正電荷 ($\delta+$)。
共價鍵內電荷的分離現象（出現部分正負電荷）稱為什麼？,極化 (Polarization)。
判斷共價鍵是否為「極性」的主要依據是什麼？,鍵合原子之間是否存在電負性差異。
鍵合原子之間的電負差越大，該共價鍵的極性有何變化？,極性越高。
在表示鍵極性的箭頭符號中，箭頭指向哪一個原子？,電負性較高的原子。
在表示鍵極性的箭頭符號中，「+」字的一端代表共價鍵的哪一端？,帶正電荷 ($\delta+$) 的一端。
判斷一個分子是否具有極性，必須考慮哪兩個因素？,鍵的極性與分子的形狀。
解釋非極性分子的 DSE 答題要點中，必須指出極性鍵在空間中是如何排列的？,對稱地排列。
當分子中的所有鍵極性能夠_____，該分子整體就是非極性的。,互相抵消
解釋極性分子的 DSE 答題要點中，關於鍵極性的抵消情況應如何描述？,鍵的極性不能互相抵消。
如果一個分子完全不含極性鍵（如 $Cl_2$），其整體極性為何？,非極性。
$CO_2$ 分子含有極性鍵卻是非極性分子的原因為何？,$CO_2$ 呈線形，兩個 $C=O$ 鍵的極性互相抵消。
$BF_3$ 分子的空間形狀為何？,平面三角形 (Trigonal planar)。
為什麼 $BF_3$ 是非極性分子？,三個極性 $B-F$ 鍵在平面上對稱排列，極性互相抵消。
$CH_4$ 和 $CCl_4$ 的共同分子形狀為何？,四面體形 (Tetrahedral)。
$H_2O$ 分子的形狀為何？,V 形 (V-shaped)。
根據分子形狀解釋為何 $H_2O$ 是極性分子？,$V$ 形結構令兩個極性 $O-H$ 鍵的極性不能互相抵消。
$NH_3$ 分子的空間結構為何？,三角錐體形 (Trigonal pyramidal)。
為何 $CHCl_3$ 是極性分子，而 $CCl_4$ 卻是非極性的？,因為 $CHCl_3$ 的鍵合原子不同，導致鍵的極性不相同且不能抵消。
臭氧 ($O_3$) 的分子形狀與極性分別為何？,V 形，極性分子。
在「帶電棒測試」中，若液柱向帶電棒方向偏移，代表該液體分子具有什麼性質？,極性。
在帶電棒測試中，如果液柱完全沒有偏移，說明該液體為何？,非極性液體。
帶負電荷的棒放近極性液體時，極性分子會如何反應以產生吸引力？,分子會重新定位，使其帶正電荷的一端靠近帶電棒。
帶電棒的電荷種類（正電或負電）對極性液柱的偏移方向有何影響？,沒有影響，都會向帶電棒方向偏移。
列舉兩種在帶電棒測試中會發生偏移的極性液體。,水 ($H_2O$)、三氯甲烷 ($CHCl_3$) 或乙醇。
列舉兩種在帶電棒測試中不會發生偏移的非極性液體。,四氯甲烷 ($CCl_4$)、己烷。
為何烷烴（如己烷）基本上是非極性的？,因為 $C-H$ 鍵的極性相對較低。
偏移幅度取決於分子極性的_____。,程度
解釋 $C-Cl$ 鍵是極性鍵的 DSE 標準三部曲包含：電負性差異、電子分佈不均以及什麼？,產生部分電荷 ($\delta+$ 與 $\delta-$)。
分子：$PCl_5$，形狀：_____。,三角雙錐體形
分子：$SF_6$，形狀：_____。,八面體形
$CH_2Cl_2$ 分子中存在哪兩種極性鍵？,$C-H$ 鍵和 $C-Cl$ 鍵。
比較 $O-H$ 鍵與 $H-H$ 鍵，哪一個極性較高？,$O-H$ 鍵（因電負差較大）。
在 $H-Cl$ 鍵中，哪一個原子帶部分負電荷 ($\delta-$)？,氯 ($Cl$) 原子。
在 $N-H$ 鍵中，哪一個原子帶部分正電荷 ($\delta+$)？,氫 ($H$) 原子。
四氟化碳 ($CF_4$) 整體是非極性的，因為其四個 $C-F$ 鍵在空間上如何排列？,對稱地排列（四面體形）。
電負性最強的非金屬元素與金屬元素相比，哪一類通常電負性較高？,非金屬。
在 $I-Cl$ 鍵中，電子較接近哪一個原子？,氯 ($Cl$) 原子（電負性較高）。
解釋 $CO_2$ 分子極性的關鍵字：線形、_____、互相抵消。,對稱排列
極性分子會被_____吸引，因此在帶電棒實驗中會偏轉。,電場
