價層電子對相斥 (VSEPR) 學說的基本原理是什麼？,中心原子的最外層電子對均帶負電荷，會互相排斥並盡量彼此遠離以減低排斥力。
在預測分子形狀時，雙鍵或三鍵應視作多少「對」電子處理？,視作「一對」電子處理。
若中心原子的電子對總數為 2 且均為鍵合對 (BP)，其分子形狀為何？,線形 (Linear)
典型例子：$CO_{2}$、$BeCl_{2}$ 和 $HCN$ 的共同分子形狀是什麼？,線形 (Linear)
若中心原子有 3 對鍵合對 (BP) 且無孤對電子 (LP)，其分子形狀為何？,平面三角形 (Trigonal Planar)
典型例子：$BF_{3}$、$HCHO$ 和 $SO_{3}$ 的共同分子形狀是什麼？,平面三角形 (Trigonal Planar)
當電子對總數為 4 且全部為鍵合對 (BP) 時，分子的幾何形狀是 _____。,四面體形 (Tetrahedral)
典型例子：$CH_{4}$、$CCl_{4}$ 和 $SiCl_{4}$ 的共同分子形狀是什麼？,四面體形 (Tetrahedral)
若中心原子有 3 對鍵合對 (BP) 和 1 對孤對電子 (LP)，其分子形狀為何？,三角錐體形 (Trigonal Pyramidal)
典型例子：$NH_{3}$、$NF_{3}$ 和 $PCl_{3}$ 的共同分子形狀是什麼？,三角錐體形 (Trigonal Pyramidal)
當中心原子有 2 對鍵合對 (BP) 和 2 對孤對電子 (LP) 時，分子的幾何形狀是 _____。,V形 (V-shaped)
典型例子：$H_{2}O$、$H_{2}S$ 和 $Cl_{2}O$ 的共同分子形狀是什麼？,V形 (V-shaped)
若中心原子有 5 對鍵合對 (BP) 且無孤對電子 (LP)，如 $PCl_{5}$，其分子形狀為何？,三角雙錐體形 (Trigonal Bipyramidal)
當中心原子有 6 對鍵合對 (BP) 且無孤對電子 (LP) 時，分子的幾何形狀是 _____。,八面體形 (Octahedral)
非金屬原子透過何種方式生成分子，以達致貴氣體原子的電子排佈？,共用它們的最外層電子。
什麼是八隅體規則 (Octet Rule)？,原子透過共用電子，使最外電子層達到 8 個電子的穩定排佈。
三氟化硼 ($BF_{3}$) 中，中心原子硼 ($B$) 的最外層有多少個電子？,6 個
$BF_{3}$ 屬於哪種非八隅體結構？,具有少於 8 個最外層電子的非八隅體結構。
為什麼三氟化硼中的硼原子被稱為「缺電子」？,因為它只有 6 個價電子，傾向獲取多 2 個電子以達致八隅體結構。
在 $NH_{3}$ 與 $BF_{3}$ 反應生成的 $NH_{3}BF_{3}$ 中，形成了哪種化學鍵？,配位共價鍵
定義：配位共價鍵 (Dative Covalent Bond),由其中一個原子提供一對孤電子與另一個缺電子原子共用而形成的共價鍵。
五氯化磷 ($PCl_{5}$) 中，中心原子磷 ($P$) 的最外層有多少個電子？,10 個
